"metabolite","estimate","std_err","wald_p","log_wald_p"
"varimax1",-0.0113193220376171,0.128881498575603,0.930013890017975,0.0315105650878797
"varimax2",0.136167594377116,0.132718951359279,0.30489886385613,0.51584419394204
"varimax3",-0.0458556681205714,0.126555302205475,0.717100214396225,0.144420147654351
"varimax4",-0.0483995725961555,0.137458295673841,0.724760504060707,0.139805481633476
"varimax5",-0.0526115267317512,0.129372491772975,0.684252560342859,0.164783568867499
"varimax6",-0.230187805536687,0.136584219423679,0.0919272883363785,1.0365555504774
"varimax7",0.173056021856156,0.137481405197639,0.208117220804237,0.681691982302443
"varimax8",0.148866218864213,0.149334275650499,0.318829697312114,0.496441233141364
"varimax9",-0.125967818293267,0.133725490453597,0.346198741599274,0.460674515078431
"varimax10",0.112558396337531,0.135804382469419,0.407202068384021,0.390190024665686
"varimax11",-0.124655577210173,0.136652312670949,0.361658292198216,0.441701572832474
"varimax12",-0.120419541228629,0.139534805814378,0.388133511611173,0.411018858472304
