"metabolite","estimate","std_err","wald_p","log_wald_p"
"varimax1",-0.0438973449247171,0.185128025099219,0.812564587000828,0.0901421089173845
"varimax2",-0.0721401304124041,0.178179450671241,0.685570528918092,0.163947859992891
"varimax3",-0.24509466788161,0.200137527681323,0.220714193419172,0.656169737860438
"varimax4",0.137402615319035,0.183243958644096,0.453354475488719,0.343562092583305
"varimax5",-0.135794211063192,0.189642130955806,0.473957339769868,0.324260746799158
"varimax6",-0.228438863210775,0.182951282116518,0.21179962674391,0.674074809588321
"varimax7",0.313495547509781,0.186519571628207,0.0928085906208857,1.03241182241721
"varimax8",-0.392745448099027,0.193485557447119,0.042372425009492,1.37291668024958
"varimax9",0.227717501637623,0.18291640994153,0.213158737498102,0.67129686067372
"varimax10",0.413703200104955,0.198595064082108,0.0372376024067506,1.42901828942643
"varimax11",-0.139123840918128,0.185186792235072,0.452494860417872,0.34438634928714
"varimax12",-0.399767836252509,0.200175003427383,0.0458152233044128,1.33899019233289
