"metabolite","estimate","std_err","wald_p","log_wald_p"
"lpc226_4",-0.47677873344472,0.176885920137391,0.00703036708775336,2.15302199787869
"lpc204_5",-0.361274411445277,0.177411796701912,0.0417141481969923,1.37971662028399
"lpc182_2",-0.125497954719244,0.180046471500321,0.485783453993711,0.313557281547364
"lpe226_16",-0.190720391689837,0.17225314082812,0.268203166016965,0.571536099804397
"lpe204_20",-0.0708127162789211,0.173364756334293,0.68293536509965,0.165620397209913
"lpe182_17",0.187745527660144,0.179954166365183,0.296811054045534,0.527519928791995
"lpe182_21",0.151329907744324,0.179060066869998,0.398035536884034,0.40007815208796
"lpc225_7",-0.294761661828423,0.176593751205715,0.0950874296629398,1.02187689198849
"lpc225_10",-0.0863255204975807,0.170617665542798,0.612885526725218,0.212620634378988
"pg364_pg182182_47",0.242799756281852,0.184162324212814,0.187369511850164,0.727301074667191
"lpe225_23",-0.0560162660272841,0.177105632454891,0.751784433932564,0.123906670810527
"lpc203_9",-0.359514265338317,0.176360760071754,0.0414983369457458,1.38196930737846
"lpc160_11",-0.368528667193227,0.176471808361593,0.0367694585136397,1.43451276573271
"lpe160_24",-0.0977354468570066,0.172973001589018,0.572051346699398,0.242564987662589
"lpc181_13",-0.200886253996444,0.177473552215648,0.257667143673795,0.588940956811538
"lpe181_25",0.154519045693211,0.176982423862183,0.382621842248325,0.417230241582225
"lpe224_27",-0.0334601952613243,0.176279721342673,0.849455612935378,0.0708593096270387
"lpc170_14",-0.0424571267020601,0.173046408917476,0.806184588837055,0.09356550815146
"lpc180_15",-0.420941372471845,0.175983245349275,0.0167595796960735,1.77573687699243
"pi406pi18226_70",0.0917322638522906,0.17188595123313,0.593562266727751,0.226533715331439
"smd182160_76",-0.526025064494621,0.195841285313493,0.00723182032763201,2.14075237231246
"pi385_pi181204_65",-0.0692975748121458,0.17324643820188,0.689160770178653,0.161679452320707
"pi363_pi181182_64",-0.102590268078046,0.173186893715807,0.553604598681071,0.256800310940175
"pi363_pi180183_68",0.0484644416347082,0.170929336552635,0.776766790817534,0.109709350135316
"pc408_pc182226_6",-0.322294725976438,0.174043658953345,0.0640539877929161,1.19345382731591
"pi384_pi180204_72",-0.391404703323105,0.17521968487373,0.0254966220411696,1.59351735392121
"pi362_pi180182_71",-0.0641706877222401,0.171805351146086,0.708770328965759,0.149494471476762
"smd181160_77",-0.43962895300687,0.182609895154924,0.016063214821678,1.79416753255714
"pc343_pc161182_1",0.0652622827717018,0.174343232365203,0.708157191080098,0.149870330387315
"pc343_pc160183_8",0.0939652569627834,0.174550669800991,0.590351636377292,0.22888922861524
"pc365_3",-0.145153605187302,0.173242949089693,0.402108467729766,0.395656781287562
"pc332_pc150182_7",0.1426119120634,0.17652809841511,0.419164910292332,0.377615080757772
"pc321_pc160161_11",-0.00901347628956156,0.175515629111911,0.959043227166936,0.0181618173371829
"pc322_pc140182_24",-0.196000789764439,0.188575113888798,0.298629057788921,0.524867935983417
"pc386_9",-0.315677626585491,0.173589206805376,0.0689827731542442,1.16125935068511
"smd181250_",-0.330281938199511,0.172337484318033,0.0553035865572932,1.2572467028448
"pi383_pi180203_74",-0.13590992075744,0.172710428800373,0.431326562985487,0.365193795267475
"pg386_pg182204_43",-0.10978417631985,0.171166547567356,0.521270602051052,0.282936767163945
"pc364_10",-0.0243295536726848,0.172555578895962,0.887873526846546,0.0516488928976126
"pe386_pe160226_37",0.0300722192704368,0.174866083175395,0.863458870939086,0.0637583443149436
"pc342_pc160182_14",-0.0335033559445429,0.169558999886292,0.84336496804027,0.0739844428074994
"pc407_pc181226_15",-0.182701306915293,0.175608723175273,0.298159413727692,0.525551474208733
"ps384_ps180204_56",-0.133951940186181,0.177084086320749,0.44939066607951,0.347375952193393
"pe364_pe160204_39",0.127526725773778,0.175128112688647,0.466496638523581,0.331151481340675
"pc396_pc170226_20",-0.0958589510940577,0.174561712713751,0.582908856874249,0.234399345843035
"pg364_pg182182_44",0.281010647792331,0.174517003910528,0.107349989570303,0.969197993422051
"pc385_16",-0.248577579900511,0.172146805093679,0.14874290792212,0.82756373231347
"pe342_pe160182_38",0.246872862947353,0.173414320130565,0.154561900332746,0.810897551261449
"pg4412_pg226226_40",-0.167899545765956,0.178503604665012,0.346912595288468,0.459779932025977
"pc363_pc181182_18",-0.0166583460950641,0.173013544037016,0.923295431229442,0.0346593134665106
"pe385_pe180205_41",0.143046015813721,0.174226555148386,0.411626606586294,0.385496561217295
"smd180181_",-0.258165043627106,0.181817534211197,0.155633069751876,0.80789811631297
"pe363_pe181182_40",0.361553895251117,0.174447223385636,0.0382124150009296,1.41779551430232
"pc320_pc160160_21",-0.128576310315846,0.173479398335576,0.458595316997112,0.338570384435336
"pc352_pc170182_23",0.189874629259346,0.175839866313273,0.280224306732736,0.552494196594642
"pi365_pi160205_58",-0.0696046059606293,0.173150605884846,0.687692261783314,0.16260586250357
"pg4210_pg204226_41",-0.173364781930056,0.172137189148313,0.313871595533139,0.503247984909655
"ps386_ps160226_51",-0.0320615273109261,0.173144203588853,0.853093818194801,0.0690032050765675
"pc341_pc160181_26",-0.0424351849962435,0.172365947559824,0.805533304353994,0.0939164991949089
"pc406_pc180226_27",-0.301221618075124,0.173521274637266,0.0825753648201672,1.08314949890769
"pc372_pc182190_36",-0.0450935809019643,0.176196483802505,0.798006577343248,0.097993529085228
"pe341_pe160181_42",0.194212129020801,0.172552717184282,0.260367287225472,0.584413581816275
"pi364_pi160204_63",-0.34806971783395,0.175457744673684,0.0472802733376778,1.32532002136745
"pc384_pc180204_28",-0.260601416898336,0.17438578804747,0.135072157259887,0.869434163891198
"pg408_pg182226_42",0.282798243632722,0.17817823891048,0.112475306060525,0.948942816386745
"pe406_pe180226_43",-0.0712721005012193,0.172923314108657,0.680222037448271,0.167349302148748
"pc362_pc180182_29",-0.00793173019560438,0.171856839781627,0.963188203521893,0.0162888449989582
"pi343_pi161182_60",-0.0080216456030409,0.174096113963966,0.963249706703203,0.0162611145518679
"pg363_pg181182_48",-0.130612208991943,0.17333464783933,0.451133737014054,0.345694693959316
"pc405_pc180225_30",-0.385873793920034,0.177255322753239,0.0294852163719762,1.53039568088226
"pi342_pi160182_62",-0.182038951858522,0.17568756251558,0.30013141498742,0.522688544256486
"pe405_pe180225_46",0.0320694968558155,0.1734334477463,0.853299998082873,0.0688982553430999
"pe384_pe180204_45",-0.0197134695037476,0.174965368635258,0.910291636097248,0.0408194476164958
"pc340_pc160180_32",-0.27038101778606,0.174047228053288,0.120305582258374,0.919714220642184
"ps386_ps180226_55",0.0509758475577449,0.176064140203139,0.772175838633717,0.112283791564878
"pc374_pc170204_22",-0.356236782089672,0.178133810861664,0.0455189616372385,1.34180765347505
"pc384_pc180224_35",-0.277631799850371,0.177308743549104,0.11739310957607,0.930357393385775
"pc361_pc180181_34",-0.0282739440706009,0.176268856189306,0.872564114845937,0.0592026518177486
"dg386_dg18320389",-0.178124378319941,0.176512857907373,0.312912406128189,0.504577217914194
"dg386_dg18220488",-0.0669145817918413,0.174511314664192,0.70139370567524,0.154038135806635
"pe361_pe180181_47",0.189921016686242,0.171819265958273,0.269006470248777,0.570237274051322
"smd181220_",-0.204028059683883,0.180079651829351,0.25721935069381,0.589696362406367
"smd181241_",-0.341061861915153,0.180250729102493,0.0584706693177533,1.23306193473561
"dg385_dg18220391",0.0553517555335831,0.173798728055156,0.750119394217371,0.124869605777668
