"metabolite","estimate","std_err","wald_p","log_wald_p","joint_p","log_joint_p"
"c18_2_carnitine",0.191345897522223,0.408432571124496,0.639435406896372,0.194203319590795,0.0260471976567749,1.58423899434779
"c16_carnitine",0.00249211164870107,0.400823946424212,0.995039207075623,0.00215980660992414,0.129898075533332,0.886397283041259
"c16_1_carnitine",0.445357381333368,0.407860464572215,0.274861386833867,0.560886266569167,0.24191212961476,0.616342355314476
"c16_2_carnitine",0.501724788965081,0.392757387172995,0.201446238707645,0.69584083710541,0.363414983000788,0.439597171413164
"c14_carnitine",0.502883462321094,0.407513574994491,0.217192196109948,0.663155783352409,0.306525713293351,0.513533088280913
"c14_1_carnitine",0.526793044565099,0.40123279512845,0.189204461547174,0.723068626906355,0.277786622896483,0.556288671996973
"c14_2_carnitine",0.557157452927385,0.395005603330078,0.158390565521992,0.800270690573321,0.263433753375246,0.579328580302622
"c12_carnitine",0.552557328039548,0.399188948348608,0.166297234309369,0.779114973475415,0.279973547929801,0.552882999124928
"c12_1_carnitine",0.177152813562983,0.392590486925834,0.651816065254362,0.185874939720311,0.858386593546554,0.06631707388719
"c10_carnitine",0.38995757921899,0.399738782249102,0.329296925769042,0.482412323730162,0.590234207339434,0.228975624337494
"c9_carnitine",0.135659601667993,0.38321204523285,0.72333392050117,0.140661168331528,0.553750730573756,0.256685687795616
"thyroxine",0.114729863166703,0.392381932154536,0.769985900804091,0.11351722711199,0.325474859620402,0.487482551642023
"c8_carnitine",0.206516112554377,0.39042038915063,0.596834364767381,0.224146178834357,0.83825639244688,0.076623126006723
"guanosine",0.121131348669685,0.415760935033054,0.770784753870366,0.113066884280538,0.453873528949795,0.343065145669295
"c7_carnitine",0.0331016607688379,0.394815740770181,0.933183022163016,0.0300331711298816,0.42775241804643,0.368807526751787
"uridine",0.03406439391449,0.386861037200087,0.929834307287224,0.0315944340717736,0.98635315992487,0.00596755975900381
"c6_carnitine",0.129271739740501,0.401414833636828,0.74742219032991,0.126434012460731,0.880282993245938,0.055377688477461
"X_2_aminooctanoate",0.0625089849982065,0.403880048254983,0.877001725401063,0.056999552208163,0.620321189427531,0.207383383603247
"uridine_monophosphate",-0.114347853691019,0.38654482053061,0.767367222660594,0.114996755205006,0.253021646333309,0.59684232277292
"cytidine",-0.401396094902332,0.382917118055913,0.294519559097872,0.530885858343049,0.505783856495665,0.29603503649169
"cystamine",-0.75366347154344,0.410659425525843,0.0664683813874271,1.17738489687003,0.0274674944932943,1.56118095387988
"c5_valeryl_carnitine",-0.102211251128952,0.417152905897916,0.806440117452832,0.0934278757955915,0.957970951580487,0.0186476597727818
"isoleucine",-1.13830166779441,0.417341821024251,0.00638153997268411,2.19507450608511,0.0162558100253387,1.78899138477937
"tryptophan",-0.396918344296732,0.405762385698962,0.3279734926783,0.484161255217406,0.60246232763977,0.220070104619793
"phenylalanine",-0.525805609438685,0.406076121630667,0.195373727201431,0.709133838255907,0.425719176220833,0.370876786892815
"c4_butyryl_carnitine",0.184198529367871,0.403651088679919,0.648151931657593,0.188323180323155,0.424557359571193,0.372063626356687
"dmgv",0.375209930703228,0.395076072196248,0.342256752946741,0.465647974198871,0.458100012304607,0.339039696558728
"c3_carnitine",-0.351278804474814,0.396562412245099,0.375720118569716,0.425135549280831,0.663128712158163,0.178402167591088
"methionine",-0.134924896129362,0.424000716236431,0.750319157310472,0.124753964907942,0.0795499176981811,1.09936026533537
"guanine",-0.0570729852915595,0.428042900070027,0.893928660790464,0.0486971383195934,0.196977331212822,0.705583750973707
"hydroxy_lysine",-0.163060929997616,0.387196985722745,0.673658905047273,0.171559944937003,0.906466962700768,0.0426480196746103
"tyrosine",-0.0369111971054118,0.378768232936493,0.92236855129606,0.0350955129893985,0.689843840922239,0.161249208829766
"betaine",0.163427754051155,0.394969831102512,0.679040540816148,0.168104296224434,0.901024216397254,0.0452635365388427
"methyl_cysteine",0.534851348000755,0.38721590557714,0.167194661659279,0.77677759321835,0.376344863916656,0.424414006527212
"homocysteine",1.11872506334268,0.403660670198315,0.00558073702668196,2.25330844165673,0.0202493589976868,1.69358872001344
"folate",0.417610822182034,0.422764094239154,0.323245451625697,0.490467577345507,0.577381263900976,0.238537313140508
"c4_methylmalonyl_carnitine",-0.180329695079859,0.393410546578004,0.646682801542349,0.189308688913059,0.533617185658575,0.272770191991622
"valine",-0.628370543351701,0.409134879269203,0.124574730359239,0.904570044181963,0.185815011651521,0.730919203076153
"taurine",-0.00228080780275983,0.400898966822035,0.995460672973758,0.00197589269117428,0.999565168307709,0.000188886074321039
"hydroxy_tyrosine",-0.325841224298452,0.41476072109383,0.432094514627889,0.364421246954126,0.667641998047575,0.175456351821099
"leucine",-0.685946808486066,0.399899288980127,0.0862904410720344,1.06403731111674,0.0244089498560195,1.61245090479201
"acetyl_carnitine",-0.490633960252054,0.409169015910635,0.230489640622748,0.637348589239536,0.248180450128716,0.605232432086354
"dimethylglycine",-0.0379801130884812,0.400159051888321,0.924384293884121,0.0341474421819007,0.995471296607275,0.00197125789150751
"c3_malonyl_carnitine",-0.0742956335658348,0.39637013873811,0.851315633664872,0.0699093910971828,0.952466230291436,0.0211504132986145
"acetyl_glutamate",0.152381877597627,0.407669488508173,0.708562203501365,0.149622017750214,0.370423871554592,0.43130103346318
"fad",-0.136719698799792,0.407257650417437,0.737090984527853,0.132478900689756,0.915460546971724,0.0383603674755353
"acetyl_glutamine",-0.348620178122024,0.413888468887321,0.399617454049123,0.398355551397809,0.59837875974676,0.223023830732654
"proline",0.0411408073972136,0.395311056063917,0.917112220630443,0.0375775194895819,0.928382879046965,0.0322728772682411
"glutathione__gsh_",-0.0573269660610993,0.432456575583342,0.894540413134046,0.0484000342976741,0.722286594772048,0.141290445323223
"aspartic_acid__aspartate_",-0.472565683921216,0.391756509442736,0.22771186688308,0.642614336150131,0.472704596734562,0.325410174454547
"acetyl_neuraminic_acid",-0.505606948590135,0.395733431640146,0.201374529560844,0.695995461144385,0.200481445567842,0.697925814866118
"acetyl_lysine__epsilon_",-0.183999739175496,0.378481707738134,0.626859213495438,0.2028299865498,0.695720431781512,0.157565242179696
"threonine",-0.379189945992599,0.42492308985726,0.372192970605025,0.429231833398366,0.669688481224746,0.174127170951163
