"metabolite","estimate","std_err","wald_p","log_wald_p"
"lpc226_4",-0.231466451065507,0.101983038238104,0.0232284413319333,1.63397993112319
"lpc204_5",-0.21943775431075,0.10351547934936,0.0340183178572022,1.4682871652501
"lpc182_2",-0.173955262494494,0.105526736601488,0.0992609195691882,1.00322170574585
"lpe226_16",-0.118703541675132,0.103430348259137,0.251106282086151,0.600142422128884
"lpe204_20",-0.0327170792402639,0.102325139920087,0.749168109248154,0.125420718045773
"lpe182_17",0.0072237202490775,0.102867154118692,0.944015548510193,0.0250208525487865
"lpe182_21",0.0200659849635308,0.103077990791153,0.845652875149065,0.0728078702281237
"lpc225_7",-0.137331908016707,0.102808180387778,0.181612297633495,0.74085474715006
"lpc225_10",-0.126633512273785,0.10196538451092,0.214263684689825,0.669051430802745
"pg364_pg182182_47",-0.11158931544006,0.107634537300608,0.299855809477845,0.523087532619999
"lpe225_23",-0.0978633924458457,0.102791526663509,0.341068075238063,0.467158929659772
"lpc203_9",-0.236879597158709,0.103403910825363,0.0219739102566965,1.65809265351192
"lpc160_11",-0.20336964340162,0.101949326823977,0.0460634920399353,1.33664314157396
"lpe160_24",-0.0729295997602781,0.102582023631441,0.477121804761119,0.321370735461521
"lpc181_13",-0.184884633206522,0.102943656653711,0.0724978759785029,1.13967471707491
"lpe181_25",-0.0297345161832361,0.102762235764632,0.772311593096773,0.112207445959029
"lpe224_27",-0.00775062660633504,0.103525330182103,0.940320565987769,0.0267240652236752
"lpc170_14",-0.0740732706786815,0.10205037282541,0.467930685728408,0.329818473923983
"lpc180_15",-0.184014477958172,0.102295068064646,0.0720408729489004,1.14242103329568
"pi406pi18226_70",0.188685076492121,0.10250339631341,0.0656554143936798,1.18272945320988
"smd182160_76",-0.217859206815314,0.111419915715868,0.0505478346560026,1.29629744377409
"pi385_pi181204_65",-0.0439037129569773,0.102839066773183,0.669440016000028,0.174288331104952
"pi363_pi181182_64",-0.142874657811299,0.101625180946824,0.159754359285208,0.796547282229466
"pi363_pi180183_68",-0.0683396664719079,0.10389649809179,0.510687994666461,0.291844351487309
"pc408_pc182226_6",-0.240464259171954,0.104263124136213,0.021092688414818,1.67586806277781
"pi384_pi180204_72",-0.15101778209013,0.102762894371517,0.1416768910918,0.848700981719801
"pi362_pi180182_71",-0.0402254800208458,0.103351482426199,0.697120452011589,0.156692175812506
"smd181160_77",-0.00784418436272717,0.104254261878526,0.940023044060047,0.0268614998200362
"pc343_pc161182_1",0.0667221596117058,0.106199613465236,0.529826288542116,0.27586649699097
"pc343_pc160183_8",0.0638836880725554,0.106288299572059,0.547812288800441,0.261368229660809
"pc365_3",-0.132793137248077,0.103609642802559,0.199959224444386,0.699058556357218
"pc332_pc150182_7",0.0746600417302163,0.104296510265491,0.474087617163358,0.324141388000714
"pc321_pc160161_11",-0.0571076186086488,0.104463377262026,0.58460136266962,0.233140176663825
"pc322_pc140182_24",0.014554355517716,0.108538290124894,0.893328083518911,0.0489890128984862
"pc386_9",-0.147068487215883,0.103024831397087,0.153434314347268,0.814077503065467
"smd181250_",-0.178535638319254,0.102802831857343,0.082443641892855,1.0838428318002
"pi383_pi180203_74",0.0396179639579524,0.10182447511238,0.69721626184237,0.15663249197793
"pg386_pg182204_43",0.0312241716642838,0.101636076260673,0.758679395693759,0.119941710397528
"pc364_10",-0.0673365822871607,0.102370872801373,0.510685348719951,0.291846601634086
"pe386_pe160226_37",0.0524934048573319,0.105703215210695,0.619463224789323,0.207984470958839
"pc342_pc160182_14",-0.00614901210591235,0.101257207997785,0.951576898751181,0.0215561097901598
"pc407_pc181226_15",-0.0983344704178458,0.10497243779938,0.348879625503477,0.457324392517445
"ps384_ps180204_56",0.0398073478260229,0.103529003051018,0.70060470246205,0.154526952021944
"pe364_pe160204_39",0.10227361934945,0.105724550480824,0.333364485610586,0.477080668829818
"pc396_pc170226_20",-0.0278228905214737,0.102887128334334,0.786836009316844,0.1041157729396
"pg364_pg182182_44",0.136437852657354,0.101716044468152,0.179803536542694,0.745201770412178
"pc385_16",-0.117094763713681,0.102499799825437,0.25329187556703,0.596378740146262
"pe342_pe160182_38",0.178116995328324,0.104838588088894,0.0893259518578061,1.04902234725661
"pg4412_pg226226_40",-0.157635097993122,0.105299229919927,0.134387943340871,0.87163969240871
"pc363_pc181182_18",-0.0730283356796541,0.104071135139781,0.482856562478124,0.316181861745152
"pe385_pe180205_41",0.181188489178689,0.10661016183263,0.0892170347071048,1.04955221543359
"smd180181_",-0.0285101620614709,0.103093027780923,0.782127261758225,0.106722576118375
"pe363_pe181182_40",0.194496646498806,0.103981279898018,0.0614148673776374,1.21172648165251
"pc320_pc160160_21",-0.00558823747531431,0.102122885311184,0.956360964552055,0.0193781586390906
"pc352_pc170182_23",0.154117365845188,0.102774089289413,0.133724752305731,0.873788197862587
"pi365_pi160205_58",-0.0235499880801536,0.102511086951825,0.818300701737108,0.0870870763927371
"pg4210_pg204226_41",-0.0624160089208827,0.102171517853914,0.541269487076337,0.26658645465267
"ps386_ps160226_51",-0.114069316580788,0.102704706432853,0.266717629972757,0.573948276597979
"pc341_pc160181_26",-0.0895176123482512,0.102861928747497,0.384153073419079,0.415495687886258
"pc406_pc180226_27",-0.115601690139317,0.103776051668366,0.265299159962663,0.576264125155845
"pc372_pc182190_36",0.0446031156563728,0.10236051988884,0.663021533332799,0.178472366533767
"pe341_pe160181_42",0.109195749476635,0.103860331986921,0.293088192580702,0.533001677297959
"pi364_pi160204_63",-0.154237121776736,0.102522315702029,0.132472003875763,0.877875894157002
"pc384_pc180204_28",-0.130487240167846,0.103450956754343,0.207184946927007,0.683641801552392
