"metabolite","estimate","std_err","wald_p","log_wald_p"
"lpc226_4",-0.116188352268226,0.126206695105343,0.357249085796506,0.447028873898897
"lpc204_5",-0.146884536612804,0.12778365314133,0.250358808888945,0.601437123320167
"lpc182_2",-0.232546395870568,0.133193263618999,0.0808227493619684,1.09246638016877
"lpe226_16",-0.0835688021370235,0.130153210894502,0.520821098906183,0.283311430444235
"lpe204_20",-0.0249687364771311,0.127311079105545,0.844513244552204,0.0733935349729813
"lpe182_17",-0.110156927004225,0.128568077768441,0.391556294279949,0.407205790342724
"lpe182_21",-0.0741131352389844,0.128963019165258,0.565504235525372,0.247564137938511
"lpc225_7",-0.0744988441283717,0.127531249000028,0.559111669644194,0.252501443156835
"lpc225_10",-0.151701133658346,0.127720584372634,0.234928803406946,0.629063733355116
"pg364_pg182182_47",-0.292731957669999,0.135385073240253,0.0306014248994068,1.514258350919
"lpe225_23",-0.135522358072116,0.128191899409894,0.290427858712543,0.536961727142636
"lpc203_9",-0.197560329782087,0.129574637307966,0.1273380240168,0.895041893637079
"lpc160_11",-0.133718747858612,0.126574868097385,0.290767260262627,0.536454495638811
"lpe160_24",-0.0759149284846803,0.128941962815646,0.556027181289828,0.254903977490526
"lpc181_13",-0.195205535145481,0.127841235164722,0.126776633075024,0.896960786373435
"lpe181_25",-0.149959654116874,0.128685416771221,0.243889598808674,0.612806720704388
"lpe224_27",-0.00347695338621366,0.129267261640174,0.978541566385798,0.00942072169880289
"lpc170_14",-0.103277676699626,0.127787007027106,0.418974477550715,0.377812431917927
"lpc180_15",-0.0716863346836205,0.127755338906509,0.574714353315411,0.24054795635884
"pi406pi18226_70",0.2386611320514,0.128303478150723,0.0628671541608058,1.20157619863234
"smd182160_76",-0.0781151581684739,0.137630911142339,0.570327071746128,0.243876013245831
"pi385_pi181204_65",-0.0271685553278776,0.128431479317231,0.832464949676202,0.0796340430861097
"pi363_pi181182_64",-0.171888251573852,0.126349743674545,0.173698221275496,0.760204628842436
"pi363_pi180183_68",-0.162988994030459,0.133681238946104,0.222754589303439,0.652173339642927
"pc408_pc182226_6",-0.20583945831671,0.13077403137055,0.115485446603373,0.937472741815833
"pi384_pi180204_72",-0.0350526745699528,0.128871238678199,0.785623823315734,0.104785355442987
"pi362_pi180182_71",-0.0404267934772067,0.130324146035286,0.756407450491983,0.121244202074988
"smd181160_77",0.203001904496416,0.129785330215982,0.117785638213228,0.92890766052505
"pc343_pc161182_1",0.0462939093718272,0.136125684407356,0.733794697214275,0.134425431008662
"pc343_pc160183_8",0.0270423570051348,0.135974761286659,0.842358360827628,0.074503109189305
"pc365_3",-0.138195768102057,0.130234936479284,0.288632326270534,0.539655030364124
"pc332_pc150182_7",0.0224417661519577,0.129353101645958,0.862264485680611,0.0643595009346949
"pc321_pc160161_11",-0.100511861662934,0.131813619042392,0.445743642203788,0.350914842601297
"pc322_pc140182_24",0.119497135742672,0.134004017790747,0.372530736259651,0.428837889258582
"pc386_9",-0.0573999927973687,0.128849603397655,0.655972509224731,0.183114360841068
"smd181250_",-0.0988767712041264,0.128896927105384,0.443022345957093,0.353574367499048
"pi383_pi180203_74",0.128316463978161,0.128406863871435,0.317651328078111,0.498049324569899
"pg386_pg182204_43",0.0984459660421521,0.127116400897222,0.438661612464209,0.357870369297842
"pc364_10",-0.0810100443509664,0.127809259665816,0.526188191169839,0.278858902672444
"pe386_pe160226_37",0.0671591782515423,0.134000852406537,0.616241134573655,0.210249315558018
"pc342_pc160182_14",-0.011737758329573,0.126878056242228,0.926291159862951,0.0332524806545052
"pc407_pc181226_15",-0.0448639945293785,0.132356601768835,0.734637582353244,0.133926857924933
"ps384_ps180204_56",0.139197998244634,0.129418731517626,0.282122745483937,0.549561898460207
"pe364_pe160204_39",0.0838105089790913,0.133765477962447,0.530955483606371,0.274941889529742
"pc396_pc170226_20",0.0120587117290112,0.127390516445044,0.924585355521446,0.0340529896201889
"pg364_pg182182_44",0.0508676318142606,0.126490774074841,0.687577319723015,0.162678457292714
"pc385_16",-0.0406482726532989,0.129124571608148,0.752914349635754,0.123254425653547
"pe342_pe160182_38",0.127573037619791,0.132294958270185,0.334891716864526,0.475095594068126
"pg4412_pg226226_40",-0.152740807119477,0.130534814411832,0.241954499401819,0.616266297311452
"pc363_pc181182_18",-0.127169012529835,0.131724386807199,0.334335799233192,0.475817118540464
"pe385_pe180205_41",0.208840272691078,0.137120593574941,0.127748472380743,0.893644284465894
"smd180181_",0.0815624040278547,0.126365345746601,0.518636165992825,0.285137201906299
"pe363_pe181182_40",0.088282618743236,0.132147828802364,0.504095582275993,0.29748710855583
"pc320_pc160160_21",0.046242149133641,0.127525752961466,0.716896029050707,0.14454382520211
"pc352_pc170182_23",0.116446255350942,0.127104960537814,0.359592163199,0.44418978166772
"pi365_pi160205_58",0.00287124582328449,0.128117294949977,0.982120049003897,0.00783542317702956
"pg4210_pg204226_41",0.00382463161547804,0.12677702763128,0.975932929267132,0.0105800280813421
"ps386_ps160226_51",-0.174033943905074,0.128214848332983,0.174666263402654,0.757790970420311
"pc341_pc160181_26",-0.130417362212356,0.129005004331366,0.312041277438059,0.505787952847444
"pc406_pc180226_27",-0.00773069121762535,0.129815460106454,0.952512934004903,0.0211291184042374
"pc372_pc182190_36",0.0926759757022312,0.126307257047118,0.463110646638613,0.334315234719233
"pe341_pe160181_42",0.0557555642391329,0.130816994033346,0.669954535019705,0.173954668732052
"pi364_pi160204_63",-0.0450522660749789,0.126968192121362,0.722716111484358,0.141032263462763
"pc384_pc180204_28",-0.0468918269579383,0.129822725671532,0.717950757181909,0.143905342133133
"pg408_pg182226_42",0.150341356763449,0.127518259271604,0.238406516293526,0.622681878329264
"pe406_pe180226_43",0.039419237934052,0.132675580641421,0.766382552058063,0.115554391235306
"pc362_pc180182_29",0.12426317711598,0.128853180872553,0.334856431387942,0.475141355412373
"pi343_pi161182_60",0.05997394655634,0.130051749950554,0.64468778047245,0.190650561406204
"pg363_pg181182_48",0.130716627932772,0.129254034482243,0.311865377898666,0.506032836278958
"pc405_pc180225_30",-0.0402585880688892,0.128875799722654,0.754749591536811,0.12219711334078
"pi342_pi160182_62",-0.0955476043922682,0.129310208717269,0.459966354938296,0.337273934403282
"pe405_pe180225_46",0.0830218913971207,0.133209867566298,0.533125963719724,0.273170166423398
"pe384_pe180204_45",0.169765883936534,0.135493355672603,0.2102252899154,0.677315039925089
"pc340_pc160180_32",0.192377419756283,0.126619227297264,0.128677407167985,0.890497698655844
"ps386_ps180226_55",-0.118671615149301,0.128718173480764,0.356555081886134,0.447873369286599
"pc374_pc170204_22",-0.129897971993979,0.127084770533186,0.306716339281634,0.513263087823061
"pc384_pc180224_35",-0.0391279386276036,0.130545595633004,0.764385992754117,0.116687279918086
"pc361_pc180181_34",-0.128582373951346,0.132289835065664,0.33106313065224,0.480089182418754
