"metabolite","estimate","std_err","wald_p","log_wald_p"
"equamax1",0.141865203047717,0.129253761106702,0.27239178338783,0.564805996917642
"equamax2",-0.0354316111620682,0.132163201052843,0.788630167710831,0.103126613745485
"equamax3",-0.0779203433728217,0.136081365130858,0.566914794797552,0.246482209061073
"equamax4",0.0319342998043752,0.127692371055109,0.802519476799661,0.0955444186564574
"equamax5",0.162356094905196,0.13493412379424,0.228889309456646,0.640374491084348
"equamax6",-0.129801443663892,0.134690771547892,0.335196551224267,0.474700458394909
"equamax7",-0.00887228900850529,0.145153164655375,0.951260746589905,0.0217004238788407
"equamax8",-0.0666641105630356,0.128078459161378,0.60271908544668,0.219885056129661
"equamax9",-0.228084002016093,0.137174349117826,0.0963663533076559,1.01607457526253
"equamax10",-0.0859101683976958,0.140986160496006,0.542291289845094,0.265767371044152
"equamax11",0.164403939160107,0.145789036515568,0.259453468753703,0.585940518645978
"equamax12",0.128551066797589,0.149959128240329,0.39131187822075,0.407476968947184
"equamax13",-0.100529967280656,0.131505361295764,0.444595979065837,0.352034469386501
