"lipid","estimate_aa","std_err_aa","estimate_ea","std_err_ea"
"dg342_dg16018290",0.0473400209482455,0.409847149000476,-0.308154870482794,0.263400822278129
"dg362_dg18128193",0.164937893259856,0.411050580793009,-0.268965978141288,0.26438492238385
"dg363_dg18118292",0.243788584954314,0.408299588750464,-0.372347741999537,0.266717770798435
"dg385_dg18220391",-0.0653127187902583,0.425175046031126,-0.207533799553413,0.264611110138019
"dg386_dg18220488",-0.335583127196433,0.432160582004297,-0.215476768210354,0.272563649096255
"dg386_dg18320389",-0.25188740643487,0.413242154482978,-0.147881010545141,0.272662342773074
"lpc160_11",0.243914229983491,0.387223626352006,-0.12837512643393,0.276086416422328
"lpc170_14",0.0493892693425641,0.392932340228457,0.173720196430003,0.287037834214258
"lpc180_15",0.307074249033762,0.37905691459745,-0.105473879396006,0.278858891407776
"lpc181_13",0.311612463518353,0.393015600339595,-0.15587677863613,0.279609796322107
"lpc182_2",0.195495293481895,0.380457917891001,-0.0860069566952089,0.293641672047529
"lpc203_9",-0.431470422830509,0.404933149085772,-0.0997560745612451,0.283396066839272
"lpc204_5",-0.375784129154488,0.397169773938222,-0.128791579514201,0.271636453590545
"lpc225_10",-0.40257725008011,0.397049347215323,-0.331533315289464,0.275066962591646
"lpc225_7",-0.458380504853253,0.413420014647766,-0.108645803905013,0.271307882097149
"lpc226_4",-0.825889823747696,0.442377322752358,0.109027269231426,0.283519832822427
"lpe160_24",0.47361109257033,0.412841974473217,-0.0790434061657038,0.263848840407524
"lpe181_25",0.329609558906617,0.400217906846143,-0.411641767755285,0.284666691752535
"lpe182_17",0.393637925458748,0.398274299167426,-0.0736481040692644,0.285607033480153
"lpe182_21",0.288322508355319,0.385343437875706,-0.134061361514584,0.291385137213122
"lpe204_20",0.0668513616117172,0.409504969752281,-0.0185852734010462,0.270112563545777
"lpe224_27",0.0148694294939008,0.398169382127682,-0.171441913672394,0.280600071532004
"lpe225_23",0.0657901251973428,0.414071807029513,0.153224329445937,0.269567226039208
"lpe226_16",-0.571887740906211,0.43378015831487,0.0930762002559381,0.282800156177796
"pc320_pc160160_21",0.348746859584997,0.408597478588409,0.121632238770744,0.270319465569447
"pc321_pc160161_11",-0.0853238610139722,0.404009308147066,0.229965892883931,0.269824208554889
"pc322_pc140182_24",-0.00573888813152759,0.439581273627894,-0.0647928467270548,0.268075090044194
"pc332_pc150182_7",-0.230423072657026,0.399010810165098,-0.160498593357701,0.269393678936898
"pc340_pc160180_32",-0.283672173072365,0.386852728952382,0.660469148206947,0.294901788165656
"pc341_pc160181_26",-0.00907241098987764,0.410264374968891,0.20632058745445,0.269013274404256
"pc342_pc160182_14",0.0301274177973291,0.398593910871851,0.155570402080705,0.274218186185619
"pc343_pc160183_8",0.0742574111954544,0.40870723210328,-0.0257903613912567,0.265986240830214
"pc343_pc161182_1",-0.0281815566276998,0.413341148528681,-0.0358614408943471,0.264990494106524
"pc352_pc170182_23",-0.100225019838754,0.406645173083737,-0.173241565046757,0.27205730638281
"pc361_pc180181_34",-0.229671589249517,0.395573214904134,0.0497544702859758,0.270942558080592
"pc362_pc180182_29",0.331501122679065,0.414841726569272,0.0678693243880413,0.284670025357351
"pc363_pc181182_18",0.00132094199901813,0.408443693049168,-0.147105665679222,0.278181525796292
"pc364_10",-0.36510041776413,0.420029373958007,-0.179674433672349,0.273244063786929
"pc365_3",-0.518430880697882,0.40461947998651,0.115823233355264,0.285262058723547
"pc372_pc182190_36",0.153477895818096,0.393918941306376,-0.170285115095238,0.267584093566025
"pc374_pc170204_22",-0.333286553400891,0.41564231992762,0.0859535264384953,0.281596756309325
"pc384_pc180204_28",-0.25830770107353,0.42785237244309,-0.0820455960218444,0.271320218714418
"pc384_pc180224_35",-0.204439990196654,0.421215127802773,-0.0330397172327241,0.270965560651589
"pc385_16",-0.477390344996666,0.432666569742169,0.0753887010613085,0.275092011774174
"pc386_9",-0.581141004298677,0.434599546279569,0.133979263267399,0.293478375325648
"pc394_pc190204_33",-0.192716426264815,0.441815319390069,0.0682392181856713,0.28930162944669
"pc396_pc170226_20",-0.307726054768882,0.398597257224843,0.087809222447873,0.281139850770341
"pc405_pc180225_30",-0.240164693915284,0.419500756623807,0.0185097407175528,0.272127341767077
"pc406_pc180226_27",-0.286571118297773,0.404485589231985,0.201731020830902,0.288982695556372
"pc407_pc181226_15",0.117394627596462,0.405949374952885,-0.106002253811746,0.28721687719743
"pc408_pc182226_6",-0.4479249626629,0.399078583727227,-0.187671029609385,0.288213112055912
"pc4210_pc204226_2",-0.296959885906286,0.4182199061844,0.23870169068729,0.261961199027737
"pe341_pe160181_42",0.499443776049076,0.441338331125778,-0.323673001098824,0.274877570388723
"pe342_pe160182_38",0.43773852174207,0.429619398668175,-0.307877402750257,0.276252486766465
"pe361_pe180181_47",0.0990454030090159,0.401932984246612,-0.502418510195777,0.277416554031015
"pe363_pe181182_40",0.550676898855734,0.442597025772274,-0.557406651949539,0.291281338296845
"pe364_pe160204_39",0.163171807151062,0.428549545421263,-0.18883219228606,0.270864051428611
"pe384_pe180204_45",0.00486661797919726,0.424885519492418,-0.446974202946533,0.271933540324787
"pe385_pe180205_41",0.472772086307984,0.431084733362609,-0.353988515029047,0.273077243708591
"pe386_pe160226_37",-0.0890138466285391,0.418443023223204,-0.163695966038085,0.273726820119891
"pe405_pe180225_46",0.103230987149209,0.426844501233843,-0.257587002435928,0.269056157867636
"pe406_pe180226_43",-0.214861987982854,0.420215490329385,-0.152894331149367,0.272514529990085
"pg363_pg181182_48",-0.581726453438795,0.409629697257825,-0.182741858949052,0.275822690400819
"pg364_pg182182_44",-0.170499580029949,0.421837390801419,-0.483798271431954,0.298021669833762
"pg364_pg182182_47",0.131082686943503,0.433270483461663,-0.310508695596437,0.305871271428693
"pg386_pg182204_43",-0.0466708824204684,0.417682471703391,0.472619326045822,0.296816661832001
"pg408_pg182226_42",0.446751521777564,0.43224421508395,-0.176283520581745,0.269603425182273
"pg4210_pg204226_41",-0.181308931780091,0.410044145515859,-0.277833995839654,0.276830322197505
"pg4412_pg226226_40",-0.416605967573156,0.409274438370178,-0.452919789362512,0.295518364287907
"pi342_pi160182_62",0.244693490934067,0.402339289416119,0.161375773353016,0.282768561928064
"pi343_pi161182_60",0.498571442002854,0.408965948369455,0.0357554685337508,0.279235438506493
"pi362_pi180182_71",0.0284081189517955,0.398516027514023,-0.331161331898458,0.2750513250117
"pi363_pi180183_68",0.436666162405541,0.408164644628087,-0.269269281642281,0.282815066126252
"pi363_pi181182_64",0.415192889720924,0.397426760086412,-0.464816203951185,0.274348187085704
"pi364_pi160204_63",-0.441368816272956,0.400381538660926,-0.232039042321513,0.263964806884527
"pi365_pi160205_58",0.185736615364529,0.411705770213093,-0.356648759059505,0.288319986367858
"pi383_pi180203_74",0.109235417206364,0.379442141832455,0.0600736203117099,0.275732010219474
"pi384_pi180204_72",-0.396626087298708,0.457514297440496,-0.237834291251353,0.282355187870177
"pi385_pi181204_65",0.370771689975967,0.406762630391779,-0.629036403610698,0.285937669244513
"pi406pi18226_70",-0.511380360319091,0.406119345983434,-0.305039227826099,0.288867804061717
"ps384_ps180204_56",0.303875318552817,0.408550412208714,-0.216025969696507,0.300544216413767
"ps386_ps160226_51",-0.373914637471364,0.408742816694114,0.00712639048832442,0.265561028248745
"ps386_ps180226_55",-0.0407518800170778,0.410253524388051,-0.0487689579878399,0.275805874970675
"smd180181_",-0.334324419338056,0.43165451117686,0.0974795109933756,0.2703221338705
"smd181160_77",-0.314120428981426,0.414658508520124,0.116327423480445,0.271671970419483
"smd181220_",-0.213649919436313,0.412479419849136,-0.0711134671299289,0.287381157250783
"smd181241_",-0.422611242999443,0.391764322405822,0.339355539735232,0.267595063740121
"smd181250_",-0.457721197186595,0.42136295873318,0.0164368528667896,0.285286543849342
"smd182160_76",-0.461475405699133,0.412787509181258,-0.317105121662538,0.274427947298098
"tg434tg170_182_182_47",0.205629644073004,0.407893548851729,-0.357921932779817,0.277443038836501
"tg462tg120_160_181_8",0.37510046999339,0.40108993869658,-0.327027962811998,0.286304751740548
"tg480tg160_160_160_63",0.18856247837205,0.404471154511341,-0.261329386653575,0.282778060514954
"tg482tg140_160_182_33",0.260812596155872,0.406021152000538,-0.218535606446963,0.276699795172469
"tg483tg141_160_182_14",0.37043362623704,0.401347531985546,-0.220256483917328,0.279233290564107
"tg5001st_77",0.103056574411367,0.412921713284605,-0.186814256481991,0.276372646246508
"tg500tg160_160_180_77",0.104490791198909,0.400893276705938,-0.261018786623234,0.285970807567852
"tg501tg160_160_181_67",0.125655082207193,0.416493357402052,-0.15825236681711,0.276175276922277
"tg502tg160_160_182_50",0.00898365839685921,0.416125963208001,-0.150658252275732,0.270481224143264
"tg502tg160_161_181_49",0.00898365839685921,0.416125963208001,-0.150658252275732,0.270481224143264
"tg503tg160_161_182_36",0.131323237521764,0.404912708151541,-0.24726576625997,0.269457577614614
"tg504tg160_161_183_22",0.149730272599924,0.423049865581212,-0.0190466650074473,0.271337382894238
"tg504tg161_161_182_21",0.169658966704707,0.419146412670045,-0.0560413715740519,0.26957675294497
"tg512tg160_170_182_62",0.189507218211204,0.399932680092452,-0.0985128484833191,0.272238465951655
"tg512tg160_171_181_61",0.302917500535924,0.405300253343775,-0.132714348265325,0.26857113845971
"tg513tg160_171_182_45",0.261153659319225,0.397001529714362,-0.321249338114688,0.26928052339063
"tg5201st_84",0.222848277800895,0.404390724556891,-0.234523102053217,0.266110002369109
"tg5203rd_84",0.114672019938843,0.405050242750473,-0.262600344632794,0.292433063988812
"tg520tg160_180_180_84",0.151346246337994,0.397877235828324,-0.226918871310627,0.282131676350027
"tg5211st_78",0.292687628194894,0.409079852594797,-0.221286324470563,0.264804354415658
"tg521tg160_180_181_78",0.13178313583447,0.399916142621932,-0.234589943710682,0.280308922990239
"tg523tg160_181_182_54",0.138225527494252,0.404673984683732,-0.360903646886123,0.26624088787958
"tg524tg160_182_182_41",0.0784972288624815,0.396855196274006,-0.329878608620571,0.270840924199156
"tg525tg160_181_181_71",0.206606800473688,0.415227881533854,-0.205185927272064,0.267384810969434
"tg525tg160_182_183_30",0.173058684954628,0.409103024382313,-0.428746294430643,0.271661448511554
"tg525tg161_182_182_26",0.185582179597824,0.409257586743878,-0.381923796372655,0.272766296106695
"tg526_17",0.381278991708615,0.407813378011643,-0.323758752321534,0.274719530923924
"tg526tg161_182_183_18",0.314996918618781,0.412587463785491,-0.332904219473044,0.274029130250986
"tg526tg182_182_183_16",0.169166670442573,0.389979555579527,-0.297982927099558,0.272332657110532
"tg5312nd_83",0.212009556953297,0.411008424345415,-0.241844816374613,0.283776700127114
"tg531tg170_180_181_83",0.287442761627742,0.418569126159752,-0.289922904714215,0.275487944211991
"tg5321st_76",0.207037233006513,0.406817230793644,-0.327044179828788,0.270257829449349
"tg532tg160_181_191_76",0.255937444369083,0.416014260515074,-0.307041476257375,0.274821154560604
"tg533tg160_182_191_65",0.312828066981471,0.410238292529961,-0.374526434428634,0.275666878354487
"tg533tg170_181_182_66",0.215666699363307,0.404916331741051,-0.3083684537005,0.274051578918064
"tg542tg160_181_201_80",0.0709690551739682,0.401470859156305,-0.333136405900851,0.279690480897948
"tg543tg180_181_182_73",0.139378965240333,0.397324286854214,-0.335232024091098,0.272349361323827
"tg543tg181_181_181_74",0.139518095285192,0.397179870477567,-0.348010261739128,0.274872938329349
"tg544tg180_182_182_58",0.206694554655539,0.397550432158321,-0.373874652789966,0.276986126983624
"tg544tg181_181_182_57",0.114059379868531,0.393173005429722,-0.396975970905411,0.273560270289693
"tg545tg160_181_204_52",0.185509486032174,0.398203824720216,-0.40981296224395,0.274110293126696
"tg545tg181_182_182_44",0.170047514441202,0.396242795443372,-0.412177267707462,0.274089799349181
"tg546tg160_182_204_40",-0.385144642854065,0.43470370330792,-0.216415601901043,0.271073979567663
"tg546tg182_182_182_32",0.138805663394322,0.397536687994329,-0.37067212688841,0.275380572833147
"tg547tg160_182_205_27",0.0726904864840596,0.394378326250992,-0.329154848984756,0.273409093546614
"tg548_6",-0.342926069304657,0.397238343393625,-0.064605015952552,0.286476789997369
"tg548tg140_182_226_10",-0.232718733620165,0.408147799355711,-0.140166017704945,0.284487493669458
"tg552tg181_181_190_79",0.163519166374386,0.419409496488526,-0.314237611244988,0.287055744498169
"tg5583rd_25",0.267065186860481,0.403844220037523,-0.28262178217308,0.284874980071293
"tg558tg150_182_226_25",0.657708689601985,0.421531965861696,-0.422151302957278,0.290785277204272
"tg561tg160_180_201_85",0.166334369726861,0.405748589674117,-0.340958322718668,0.278231901210308
"tg562tg180_181_201_86",-0.176316570954424,0.403461050635552,-0.386388412698557,0.290666249953957
